"d_local","Air temperature (°C)","Wind speed (m.s-1)","Atmospheric pressure (Pa)","Shortwave radiation (W.m-2)","Longwave radiation (W.m-2)","Specific humidity (kg.kg-1)","Relative humidity (%)","Precipitation (mm)","measure_height_m","rheight_m","2m Wind speed (m.s-1)","Snow depth (cm)","Field snow depth (cm)","Snowfall probability","Snowfall (liquid equivalent, mm)"
2019-08-11,18.2166666666667,3.62268518518518,100145.833333333,229.531957124682,352.824276451474,0.00932210544274985,73.875,0,10,0.12,2.30442010973929,0,NA,2.07840532652705e-10,0
2019-08-12,20.375,2.92824074074074,100001.25,215.301934253685,372.811609308812,0.0118730134394319,79.4583333333333,2.4,10,0.12,1.86267823566786,0,NA,5.99557151526137e-12,0
2019-08-13,19.0458333333333,2.04861111111111,99910.4166666667,236.377398666528,350.83224419169,0.00990878167544219,74.25,0,10,0.12,1.30313852851072,0,NA,6.24206478620086e-11,0
2019-08-14,16.2833333333333,2.44212962962963,100395,235.005042844297,335.5112621325,0.00794239038572642,71.0833333333333,0,10,0.12,1.55345892381786,0,NA,4.08068894351512e-09,0
2019-08-15,14.7291666666667,1.00694444444444,100830.416666667,285.177718202314,321.359913693732,0.00718289923431946,73.6666666666667,0,10,0.12,0.640525717403572,0,NA,2.89375716540377e-08,0
2019-08-16,17.6583333333333,1.12268518518519,100682.916666667,231.742974838278,357.642923293947,0.0105574403964957,84.375,1.9,10,0.12,0.714149363082144,0,NA,1.77508965189713e-10,0
2019-08-17,20.1833333333333,1.25,100510.416666667,116.023971399387,389.966235741687,0.0137245666333541,92.875,5.3,10,0.12,0.795135373328572,0,NA,2.34848658879116e-12,0
2019-08-18,21.2125,1.8287037037037,100490.833333333,201.099140664875,385.84205886134,0.0136582757077864,88.1666666666667,0.5,10,0.12,1.16325360172143,0,NA,8.40629818576888e-13,0
2019-08-19,21.925,3.35648148148148,100142.916666667,156.110920635289,388.997632899774,0.0136343949144214,83.25,0.1,10,0.12,2.13508572467857,0,NA,4.79156082426412e-13,0
2019-08-20,18.4583333333333,2.62731481481482,100690.833333333,287.394181772347,330.991115536905,0.00952346754233834,75.4583333333333,0,10,0.12,1.67125675690357,0,NA,1.28190971360369e-10,0
2019-08-21,17.6916666666667,2.06018518518519,100190,114.940245968339,371.398302017467,0.0118197371593426,92.0833333333333,10.3,10,0.12,1.31050089307857,0,NA,8.46285022452159e-11,0
2019-08-22,20.4958333333333,2.95138888888889,99856.6666666667,210.934357390868,376.210857018167,0.0127224503260369,84.5833333333333,0,10,0.12,1.87740296480357,0,NA,3.18800750774054e-12,0
2019-08-23,15.9458333333333,2.68518518518519,100560.833333333,224.401960360626,341.700573373906,0.00822674293406605,75.3333333333333,0,10,0.12,1.70806857974286,0,NA,4.4800796821653e-09,0
2019-08-24,15.6208333333333,1.95601851851852,101382.916666667,186.466124417508,339.36130613306,0.00833096475754158,78.1666666666667,0,10,0.12,1.24423961196786,0,NA,5.48979454572861e-09,0
